"","unique(WorldData$Country)"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","American Samoa"
"5","Andorra"
"6","Angola"
"7","Antigua and Barbuda"
"8","Argentina"
"9","Armenia"
"10","Australia"
"11","Austria"
"12","Azerbaijan"
"13","Bahamas, The"
"14","Bahrain"
"15","Bangladesh"
"16","Barbados"
"17","Belarus"
"18","Belgium"
"19","Belize"
"20","Benin"
"21","Bermuda"
"22","Bhutan"
"23","Bolivia"
"24","Bosnia and Herzegovina"
"25","Botswana"
"26","Brazil"
"27","Brunei Darussalam"
"28","Bulgaria"
"29","Burkina Faso"
"30","Burundi"
"31","Cabo Verde"
"32","Cambodia"
"33","Cameroon"
"34","Canada"
"35","Central African Republic"
"36","Chad"
"37","Chile"
"38","China"
"39","China (Hong Kong SAR)"
"40","Colombia"
"41","Comoros"
"42","Congo, Rep."
"43","Cook Islands"
"44","Costa Rica"
"45","Cote d'Ivoire"
"46","Croatia"
"47","Cuba"
"48","Cyprus"
"49","Czech Republic"
"50","Denmark"
"51","Djibouti"
"52","Dominica"
"53","Dominican Republic"
"54","Congo, Dem. Rep."
"55","Ecuador"
"56","Egypt, Arab Rep."
"57","El Salvador"
"58","Equatorial Guinea"
"59","Eritrea"
"60","Estonia"
"61","Ethiopia"
"62","Fiji"
"63","Finland"
"64","France"
"65","French Polynesia"
"66","Gabon"
"67","Gambia, The"
"68","Georgia"
"69","Germany"
"70","Ghana"
"71","Greece"
"72","Greenland"
"73","Grenada"
"74","Guatemala"
"75","Guinea"
"76","Guinea Bissau"
"77","Guyana"
"78","Haiti"
"79","Honduras"
"80","Hungary"
"81","Iceland"
"82","India"
"83","Indonesia"
"84","Iran, Islamic Rep."
"85","Iraq"
"86","Ireland"
"87","Israel"
"88","Italy"
"89","Jamaica"
"90","Japan"
"91","Jordan"
"92","Kazakhstan"
"93","Kenya"
"94","Kiribati"
"95","Kuwait"
"96","Kyrgyz Republic"
"97","Lao PDR"
"98","Latvia"
"99","Lebanon"
"100","Lesotho"
"101","Liberia"
"102","Libya"
"103","Lithuania"
"104","Luxembourg"
"105","North Macedonia"
"106","Madagascar"
"107","Malawi"
"108","Malaysia"
"109","Maldives"
"110","Mali"
"111","Malta"
"112","Marshall Islands"
"113","Mauritania"
"114","Mauritius"
"115","Mexico"
"116","Micronesia, Fed. Sts."
"117","Moldova"
"118","Mongolia"
"119","Montenegro"
"120","Morocco"
"121","Mozambique"
"122","Myanmar"
"123","Namibia"
"124","Nauru"
"125","Nepal"
"126","Netherlands"
"127","New Zealand"
"128","Nicaragua"
"129","Niger"
"130","Nigeria"
"131","Niue"
"132","Korea, Dem. People's Rep."
"133","Norway"
"134","Palestine"
"135","Oman"
"136","Pakistan"
"137","Palau"
"138","Panama"
"139","Papua New Guinea"
"140","Paraguay"
"141","Peru"
"142","Philippines"
"143","Poland"
"144","Portugal"
"145","Puerto Rico"
"146","Qatar"
"147","Romania"
"148","Russian Federation"
"149","Rwanda"
"150","St. Kitts and Nevis"
"151","St. Lucia"
"152","St. Vincent and the Grenadines"
"153","Samoa"
"154","Sao Tome and Principe"
"155","Saudi Arabia"
"156","Senegal"
"157","Serbia"
"158","Seychelles"
"159","Sierra Leone"
"160","Singapore"
"161","Slovak Republic"
"162","Slovenia"
"163","Solomon Islands"
"164","Somalia"
"165","South Africa"
"166","Korea, Rep."
"167","Spain"
"168","Sri Lanka"
"169","Sudan"
"170","Suriname"
"171","Swaziland"
"172","Sweden"
"173","Switzerland"
"174","Syrian Arab Republic"
"175","Taiwan"
"176","Tajikistan"
"177","Tanzania"
"178","Thailand"
"179","Timor-Leste"
"180","Togo"
"181","Tokelau"
"182","Tonga"
"183","Trinidad and Tobago"
"184","Tunisia"
"185","Turkiye"
"186","Turkmenistan"
"187","Tuvalu"
"188","Uganda"
"189","Ukraine"
"190","United Arab Emirates"
"191","United Kingdom"
"192","United States"
"193","Uruguay"
"194","Uzbekistan"
"195","Vanuatu"
"196","Venezuela, RB"
"197","Vietnam"
"198","Yemen, Rep."
"199","Zambia"
"200","Zimbabwe"
"201",NA
